,"Total energy production, Florida (Billion Btu)"
1960  ,37861
1961  ,36626
1962  ,38296
1963  ,41351
1964  ,42666
1965  ,48552
1966  ,53481
1967  ,53811
1968  ,58251
1969  ,61596
1970  ,68429
1971  ,82200
1972  ,172552
1973  ,336589
1974  ,396495
1975  ,444876
1976  ,475202
1977  ,589490
1978  ,592381
1979  ,588408
1980  ,590726
1981  ,499530
1982  ,508014
1983  ,401142
1984  ,477698
1985  ,446518
1986  ,420831
1987  ,366660
1988  ,450315
1989  ,509630
1990  ,473948
1991  ,463646
1992  ,536395
1993  ,532995
1994  ,540526
1995  ,564446
1996  ,553109
1997  ,518076
1998  ,574887
1999  ,570519
2000  ,567461
2001  ,521390
2002  ,552237
2003  ,534809
2004  ,526195
2005  ,501932
2006  ,530687
2007  ,511828
2008  ,544962
2009  ,522490
2010  ,503388
2011  ,485164
2012  ,423461
2013  ,523059
2014  ,535522
2015  ,530953
2016  ,541547
2017  ,554439
